"","Region","Year","PopTotal","GDPTotal","CarbonTotal","GDP","CO2","Tech"
"73"," Australia_NZ",1981,14898.018,218409943808.524,62820000,14660.3356103157,4.21666828433151,2.87624267030044
"74"," Australia_NZ",1982,15101.223,217636092875.346,63845000,14411.8190212373,4.22780327129796,2.93356672399775
"75"," Australia_NZ",1983,15318.246,218115335066.067,61359000,14238.9236382591,4.00561526430637,2.81314470536491
"76"," Australia_NZ",1984,15548.585,234199183141.844,64520000,15062.4113475177,4.1495737393467,2.75491994183955
"77"," Australia_NZ",1985,15791.043,246945954641.096,65784000,15638.3561643836,4.16590595060757,2.66390271894142
"78"," Australia_NZ",1986,16047.453,252862441960.189,65439000,15757.1698113208,4.07784338112721,2.58792881586989
"79"," Australia_NZ",1987,16316.143,265843830840.615,69841000,16293.301109252,4.28048467091763,2.62714390547106
"80"," Australia_NZ",1988,16588.048,277887228254.634,71215000,16752.256097561,4.29315130990699,2.56273022863592
"81"," Australia_NZ",1989,16851.083,289744477313.111,75749000,17194.4128049877,4.49520069422244,2.61433800921569
"82"," Australia_NZ",1990,17096.869,293599098573.956,78356000,17172.6822363765,4.5830613780804,2.66880928383581
"83"," Australia_NZ",1991,17321.654,290022064887.041,76774000,16743.3239855179,4.43225571876681,2.64717789765072
"84"," Australia_NZ",1992,17528.564,297790565432.09,80299000,16988.8740134155,4.58103698625854,2.69649241182263
"85"," Australia_NZ",1993,17724.669,309795047573.648,82388000,17478.1852103217,4.64821092004595,2.65943567030115
"86"," Australia_NZ",1994,17920.592,325179329487.381,82890000,18145.5684883279,4.62540523214858,2.54905501314212
"87"," Australia_NZ",1995,18124.234,335834048857.32,83838000,18529.5582068362,4.62574032094267,2.49641155461335
"88"," Australia_NZ",1996,18339.037,349818643356.333,89790000,19075.0824787765,4.89611313832891,2.56675856776844
"89"," Australia_NZ",1997,18563.442,364067928126.969,90980000,19612.0917730111,4.90103074634543,2.49898419968129
"90"," Australia_NZ",1998,18794.552,382994436455.494,94604000,20377.9497620105,5.03358632863396,2.47011421041865
"91"," Australia_NZ",1999,19027.438,399022390844.056,88771000,20970.8942866641,4.6654205363854,2.22471224765662
"92"," Australia_NZ",2000,19259.377,411723555007.187,89884000,21377.8231251814,4.66702531447409,2.18311531868588
"93"," Australia_NZ",2001,19487.257,422133461335.055,88590000,21662.02566811,4.54604770697077,2.09862539017452
"94"," Australia_NZ",2002,19714.625,438392840056.405,92992000,22236.9352729968,4.71690432863927,2.12120252666616
"95"," Australia_NZ",2003,19953.121,452262983333.84,94485000,22666.2777885144,4.73534942227835,2.08916058757468
"96"," Australia_NZ",2004,20218.481,471535573265.368,95107000,23322.0078830535,4.70396366571752,2.01696341468762
"97"," Australia_NZ",2005,20520.736,487667363620.82,98905000,23764.6136873853,4.81975890143511,2.02812423750593
"98"," Australia_NZ",2006,20865.583,502809918939.663,101231000,24097.5734509629,4.85157783513645,2.01330554921188
"99"," Australia_NZ",2007,21246.274,529278209151.944,102873000,24911.5778678155,4.84193134287923,1.94364699360724
"100"," Australia_NZ",2008,21645.095,545852540161.898,105709000,25218.3018906546,4.88373924900768,1.93658529039083
"101"," Australia_NZ",2009,22037.143,556562124742.58,107743000,25255.6388431377,4.88915464223289,1.93586654948597
"102"," Australia_NZ",2010,22404.488,573207362359.079,101740000,25584.4883560418,4.54105445301852,1.77492486456003
"103"," Canada",1960,17909.232,156750689690.265,52603000,8752.50762792427,2.93720021048362,3.35583850405647
"104"," Canada",1961,18295.159,161596474258.165,52954000,8832.74500419292,2.8944268809033,3.2769279307048
"105"," Canada",1962,18657.831,173087006750.659,56500000,9276.90934442805,3.02821908934645,3.26425426498889
"106"," Canada",1963,19004.278,181802177115.451,57570000,9566.38169129343,3.02931792515348,3.1666287452345
"107"," Canada",1964,19345.253,193440232533.188,64849000,9999.36431605151,3.35219187880355,3.35240498580738
"108"," Canada",1965,19688.687,206197978619.462,68763000,10472.9166865958,3.49251323869388,3.33480475707776
"109"," Canada",1966,20035.772,219314267333.108,70717000,10946.1351093988,3.5295370699966,3.22445962407865
"110"," Canada",1967,20384.144,225821050791.202,76874000,11078.2699921666,3.77126456720478,3.40419990654808
"111"," Canada",1968,20733.877,238005502955.148,82776000,11479.0640918314,3.99230688983059,3.47790277839076
"112"," Canada",1969,21084.28,251163369649.106,83829000,11912.3522192413,3.97590052873515,3.33762841759591
"113"," Canada",1970,21434.401,258295045950.742,93124000,12050.4905152583,4.3446047314315,3.60533434380151
